movie_name,genre,rating,voting_counts,duration_minutes
8. Gladiator II,Action Epic,6.5,253000,148
15. Dune: Part Two,Action Epic,8.5,643000,166
38. Furiosa: A Mad Max Saga,Action Epic,7.5,292000,148
18. Twisters,Action,6.5,176000,122
20. Kraven the Hunter,Action,5.5,63000,127
21. The Ministry of Ungentlemanly Warfare,Action,6.8,139000,122
22. Deadpool & Wolverine,Action,7.5,508000,128
24. The Unholy Trinity,Action,6.0,529,95
26. The Beekeeper,Action,6.3,162000,105
27. Venom: The Last Dance,Action,6.0,130000,110
28. Civil War,Action,7.0,244000,109
30. Sonic the Hedgehog 3,Action,6.9,65000,110
39. Fight or Flight,Action,6.4,14000,102
41. Carry-On,Action,6.5,172000,119
45. The Fall Guy,Action,6.8,227000,126
47. Land of Bad,Action,6.6,53000,113
31. Flow,Adventure,7.9,85000,85
40. Moana 2,Adventure,6.5,109000,100
42. Mufasa: The Lion King,Adventure,6.6,71000,118
12. The Wild Robot,Animation,8.2,183000,102
7. A Complete Unknown,Biography,7.3,93000,141
25. I'm Still Here,Biography,8.2,113000,137
5. The Substance,Body Horror,7.2,319000,141
37. Beetlejuice Beetlejuice,Body Horror,6.6,155000,105
44. The Shrouds,Body Horror,5.8,3700,120
35. A Real Pain,Buddy Comedy,7.1,105000,90
2. Friendship,Comedy,7.0,12000,100
3. Anora,Comedy,7.5,205000,139
32. Parthenope,Coming-of-Age,6.6,14000,137
11. Conclave,Conspiracy Thriller,7.4,204000,120
46. Wolfs,Conspiracy Thriller,6.5,88000,108
34. The Order,Crime,6.8,50000,116
36. Longlegs,Crime,6.6,194000,101
43. Juror #2,Crime,7.0,105000,114
49. Trap,Crime,5.8,145000,105
13. Nosferatu,Dark Fantasy,7.2,211000,132
1. The Life of Chuck,Drama,7.7,6900,111
6. Mon Potongo,Drama,5.4,551,149
9. The Brutalist,Drama,7.3,93000,216
16. Babygirl,Drama,5.8,64000,114
17. Presence,Drama,6.1,29000,84
19. Joker: Folie à Deux,Drama,5.2,166000,138
23. Speak No Evil,Drama,6.8,110000,110
29. The Assessment,Drama,6.6,12000,114
14. Wicked,Fairy Tale,7.4,169000,160
4. Heretic,Horror,7.0,162000,111
33. Alien: Romulus,Horror,7.1,254000,119
50. Smile 2,Horror,6.7,114000,127
48. Blink Twice,Mystery,6.5,111000,102
10. The Surfer,Psychological Thriller,6.1,9200,100
