Movie Name,Genre,Ratings,Voting Counts,duration_minutes
8. Gladiator II,Adventure,6.5,253000,148
15. Dune: Part Two,Adventure,8.5,643000,166
18. Twisters,Adventure,6.5,176000,122
20. Kraven the Hunter,Adventure,5.5,63000,127
22. Deadpool & Wolverine,Adventure,7.5,508000,128
24. The Unholy Trinity,Adventure,6.0,529,95
27. Venom: The Last Dance,Adventure,6.0,130000,110
30. Sonic the Hedgehog 3,Adventure,6.9,65000,110
31. Flow,Adventure,7.9,85000,85
38. Furiosa: A Mad Max Saga,Adventure,7.5,292000,148
40. Moana 2,Adventure,6.5,109000,100
42. Mufasa: The Lion King,Adventure,6.6,71000,118
