Movie Name,Genre,Ratings,Voting Counts,duration_minutes
8. Gladiator II,Action,6.5,253000,148
15. Dune: Part Two,Action,8.5,643000,166
18. Twisters,Action,6.5,176000,122
20. Kraven the Hunter,Action,5.5,63000,127
21. The Ministry of Ungentlemanly Warfare,Action,6.8,139000,122
22. Deadpool & Wolverine,Action,7.5,508000,128
24. The Unholy Trinity,Action,6.0,529,95
26. The Beekeeper,Action,6.3,162000,105
27. Venom: The Last Dance,Action,6.0,130000,110
28. Civil War,Action,7.0,244000,109
30. Sonic the Hedgehog 3,Action,6.9,65000,110
38. Furiosa: A Mad Max Saga,Action,7.5,292000,148
39. Fight or Flight,Action,6.4,14000,102
41. Carry-On,Action,6.5,172000,119
45. The Fall Guy,Action,6.8,227000,126
47. Land of Bad,Action,6.6,53000,113
