Movie Name,Genre,Ratings,Voting Counts,duration_minutes
1. The Life of Chuck,Drama,7.7,6900,111
3. Anora,Drama,7.5,205000,139
5. The Substance,Drama,7.2,319000,141
6. Mon Potongo,Drama,5.4,551,149
7. A Complete Unknown,Drama,7.3,93000,141
8. Gladiator II,Drama,6.5,253000,148
9. The Brutalist,Drama,7.3,93000,216
11. Conclave,Drama,7.4,204000,120
15. Dune: Part Two,Drama,8.5,643000,166
16. Babygirl,Drama,5.8,64000,114
17. Presence,Drama,6.1,29000,84
19. Joker: Folie à Deux,Drama,5.2,166000,138
23. Speak No Evil,Drama,6.8,110000,110
24. The Unholy Trinity,Drama,6.0,529,95
25. I'm Still Here,Drama,8.2,113000,137
29. The Assessment,Drama,6.6,12000,114
32. Parthenope,Drama,6.6,14000,137
34. The Order,Drama,6.8,50000,116
35. A Real Pain,Drama,7.1,105000,90
42. Mufasa: The Lion King,Drama,6.6,71000,118
43. Juror #2,Drama,7.0,105000,114
44. The Shrouds,Drama,5.8,3700,120
45. The Fall Guy,Drama,6.8,227000,126
